ROI_ID,mean_cloud_annual,intra_cloud_annual,elevation,forest_prob,sveg_prob,cropland_prob,builup_prob,snow_prob,water_prob,var_snow_lt_p90,direct_normal_irradiation,total_clear,total_cloud,total_cs,CF_clear,CF_cloud,CF_cs,AC_clear,AC_cloud,AC_cs,LC_clear,LC_cloud,LC_cs,MC_clear,MC_cloud,MC_cs,C_clear,C_cloud,C_cs,geometry
ROI_0293,50.152375371277216,6.345569559283937,183.8246001553371,0.9899529490777016,0.010047050922298432,0,0,0,0,43.443153423870626,3.478538060536174,0.8531464349217369,0.8759763448865352,0.07279667508814935,0.9999953681938505,NA,NA,0.9496503468017728,0.6877047551198168,0.15239077133142867,0.9560048107101662,0.9755563327815572,0.2806655506754403,0.5466779663211407,0.17815455115497864,NA,NA,0.9561691962802842,0.13252005098764574,"c(75.0585647662692, 51.9497867179263)"
ROI_0294,46.021757237176224,19.45478212290502,2404.06243637218,0.9908291229383861,8.723140639413929e-4,1.428124794948298e-4,0,0,0,50.45465518156667,5.294522446675329,0.8806619342831379,0.8614291266090031,0.3009592475094101,0.9970244225880751,NA,NA,0.9385798205027018,0.8205533597929138,0.2741343844070245,0.8316243148962142,0.5681683110314893,0.6005270026859081,0.573642846413053,0.8133374775411631,0.07613938749100205,0.4201146367638974,0.9609516029785302,NA,"c(66.9726663486719, 38.7009756026461)"
ROI_0295,31.219831879794047,22.5480666176316,711.3550283849852,0.9769454340534427,0.023046846353071047,7.719593486207016e-6,0,0,0,8.485191901430616,4.960812813144561,0.9512514953500385,0.9255080224963912,0.13443343923677803,0.9800126526751998,NA,NA,0.6037263278250488,0.8865276810959329,0.25535330550519236,0.9924254931919964,1.7304031539989073e-8,NA,0.9551047030434959,0.9655460092092316,NA,NA,0.9730788184045083,NA,"c(63.8964955818115, 35.9068227429797)"
ROI_0296,54.629394274234045,17.54493018583626,2174.1505709255525,0.98079751120306,0.016496771280024393,5.558107310069052e-4,0,0.002119028411963826,0,48.735757161513654,5.304897060403074,0.8192318507400332,0.716744245749245,0.4490679663739825,0.9835614198361288,NA,NA,0.9393646928288252,0.20387436574266546,0.6703481619210004,0.8484274142053012,0.5343193687350065,0.6979452854621941,0.42059226661859583,0.7745262648140637,NA,0.5506618431771021,0.8504438473834891,0.44633657507223473,"c(41.2207494925963, 39.5153700644415)"
ROI_0297,33.84827861013708,17.566168313675487,1763.144369828463,0.034715011907472955,0.9621045155762098,0.0031804725163172907,0,0,0,15.551679856814976,5.638824574722524,0.8194401338585726,0.658139709427414,0.14469443395096293,0.9394769646887523,NA,NA,0.971829483814493,0.5821508466614465,0.7859130603381689,0.82266303726556,0.6049237855787485,0.07968075001002899,0.5241933143731903,0.8380129117699479,NA,0.5862841020897018,0.7400828819864448,NA,"c(47.8399505056165, 35.307664585311)"
ROI_0298,42.072624342903346,19.177052163364333,977.4025055096444,0.23080812564410358,0.7558060992508134,0.011841856407841564,0,0,0,9.034059845858078,5.195549139015543,0.887558011435011,0.8542230629558112,0.3669756072223894,0.9993134018849239,NA,NA,0.9624910590908229,0.7146363416155644,0.1054514682918206,0.8424641104314727,0.553504676021951,0.15100038017176173,0.48603470901002616,0.8216163449434148,0.3024691364548549,NA,0.9684851375346635,0.5529825241413677,"c(34.1894970737193, 39.0394271756585)"
ROI_0299,50.60557091752874,16.868799187856517,749.3487475750708,0.14973695485195748,0.7532856519775668,0.0283849452487832,0,0.0021692057696241717,0,2.717212749647001,5.100698392405782,0.8619533410905414,0.8991888423012719,0.6432467884164538,0.999171633513992,NA,NA,0.9352035913918021,0.8486444343384272,NA,0.6878266541502659,0.6748208407050608,0.6925143262762109,0.6938648149731956,0.905922018200728,0.7503991485550395,NA,0.9685824928981516,NA,"c(-4.28464862981479, 42.0344999481662)"
ROI_0300,39.241992983140044,14.132476366825847,179.61044115084192,0.19579590938741165,0.6767883403259984,0.011031299091789827,0,0.007796789421069087,0,1.8539079782049062,5.168424260639816,0.8771165466648707,0.810698252703594,0.3780935501495971,0.9920843642610743,NA,NA,0.9572081926495172,0.6168856875228729,0.5590663851326999,0.8666055658666562,0.5322112456578844,0.3181812193860617,0.5745190244707031,0.6889320142609652,0.3720984928049207,NA,0.925881087008128,NA,"c(0.329613457553923, 41.6337021408273)"
ROI_0301,47.830257692307704,8.498660576923081,275.806359192242,1,0,0,0,0,0,0.46150623688777187,6.059096491149583,0.780470165135405,0.8075315784088836,0.20028474958086182,0.9996940858923501,NA,NA,0.5310643392324161,0.4385081382958366,NA,0.0038657442842545417,0.9657815065987185,0.26027498473051097,2.683267138877141e-9,0.8617285901287153,NA,0.09893836958440333,0.9028354208234495,NA,"c(-66.0110971879721, -42.4441887510974)"
ROI_0302,42.606064695376055,10.696952768406428,126.36865368751313,0.9998649071139913,1.350928860086228e-4,0,0,0,0,0.04909760797268178,6.181074794183732,0.8128623404414534,0.6744638617172896,0.061648994694375674,0.9990390767709947,NA,NA,0.8704109436440026,0.5260965268860242,NA,0.5673679703820848,0.5416040322236028,0.07974531965905515,0.5408995927301085,0.5261807535812709,0.08183901250387533,0.5716236075628481,0.8729303423334079,NA,"c(-66.3573766929849, -40.4395050036658)"
ROI_0303,42.531786890152645,11.347868901526486,648.794032860912,0.9999228040651379,3.859796743103508e-6,0,0,7.333613811896665e-5,0,0.3879744243293142,6.384854416833581,0.8084389153069694,0.8453901592550923,0.20030499518175618,0.9999583101401336,NA,NA,0.6799072745446272,0.96679532837123106,NA,NA,0.7990607817344993,NA,0.6980720420095018,0.733219048867481,NA,0.7622549470575621,0.7000802022239266,0.34574779493096436,"c(-68.0713469886343, -39.9698612261404)"
ROI_0304,43.78003006915904,10.081722962814471,127.30515253515567,0.9994557686592224,5.442313407775947e-4,0,0,0,0,0,5.903608716099256,0.7326527612567351,0.7077682759431251,0.0059645652537042146,1,NA,NA,0.9397492426359487,0.07096445330546991,0.07514944717543139,0.1704878478483473,0.4575963568685984,NA,0.6715407033691951,0.7351763542836306,NA,0.5446497542026153,0.8965297337591398,NA,"c(-64.2919470260033, -39.5986043429643)"
ROI_0305,41.501970680628254,8.627753926701569,302.1872581276292,0.986317020545698,7.719593486207016e-6,0,0,5.365117472913877e-4,0,0,5.659879641614438,0.8065018213329556,0.7732349643575083,0.2644227718097049,0.9999166121686042,NA,NA,0.846128763154823,0.46749778994724134,NA,0.7471306063282607,0.21032757518628925,7.563095115327297e-10,0.016505968976491765,0.7644521498668682,NA,0.0319361095182232,0.8965216260943849,0.5727023006564238,"c(-65.4345823568177, -36.4158233675874)"
ROI_0306,31.566166684612906,6.081742220307959,455.0939889814582,1,0,0,0,0,0,0.8053765849275908,6.010006224824095,0.6807272917628212,0.646618579777318,0.22925128559495064,1,NA,NA,0.900498452503459,0.7609368062814529,0.6954377314383375,0.6621016942521639,0.5748141491740865,0.37526938188122705,0.0817969189527433,0.23280105362303116,NA,0.07894525792241722,0.8053689154185462,NA,"c(-67.3682511432332, -34.0119830970772)"
ROI_0307,34.87979065293653,9.410977707366753,321.2124364670772,0.9999845608130276,0,1.543918697241403e-5,0,0,0,0,5.8185181205326115,0.812900467415925,0.9136683565261559,0.040610943342750526,1,NA,NA,0.5785506626879074,0.891345591730035,NA,0.8916745915879559,0.6648379857448392,0.16614856987228152,0.2818870993514132,0.8843238914790899,0.0018716810804777148,NA,0.9606020589720038,NA,"c(-66.1816079596345, -29.418738747746)"
ROI_0308,34.00784142936908,7.6199731993299835,890.6941222365809,0.88881469501816035,0.09160841590081867,0.0030415198335655646,0,0,0,0,6.114817654793891,0.811016216693541,0.8701013695028297,0.10418821566588758,0.9997451019013179,NA,NA,0.8845626822144209,0.6617898224678509,0.03421096109745755,0.6839699782900146,0.13924574461385256,0.1839976852116442,0.5590704082326423,0.7790027465373354,0.0741150295801726,NA,0.9790932069877483,NA,"c(-67.499954949338, -30.5597906740979)"
ROI_0309,59.96558268311099,7.395143468411777,409.3480059029789,0.8598006029002513,0.008815775761248413,0.04363500218078516,0,4.5159621894311046e-4,0,0,4.506703517875498,0.8074860780268011,0.7765349578217158,0.19325529052898935,0.9988156382200971,NA,NA,0.789389161484286,0.44892141989150286,0.04542947177918089,NA,0.7249251485820869,NA,0.759611569538895,0.8461495638034103,0.4656646204815538,0.5884263826670495,0.8796935009466286,NA,"c(-41.1327598052048, -14.5999255027947)"
ROI_0310,65.41594407388406,10.273808363263212,405.7401837707532,0.9991354055295448,8.491552834827717e-4,0,0,0,0,0,4.540885377963687,0.8423650693002213,0.8928506828123643,0.41788355838310814,0.9999953681938505,NA,NA,0.9159006460474665,0.22543959394211668,0.029454335552257738,0.7819485905727643,0.7428103532515626,0.5656409450337657,0.4835560590663629,0.8842123684803131,0.46402745730805806,0.10271564063553086,0.9442870472713506,8.618110896242274e-4,"c(-39.3969573919393, -9.38014501618889)"
