ROI_ID,total_clear,total_cloud,total_cs,CF_clear,CF_cloud,CF_cs,AC_clear,AC_cloud,AC_cs,LC_clear,LC_cloud,LC_cs,MC_clear,MC_cloud,MC_cs,C_clear,C_cloud,C_cs
ROI_0355,0.8197120626240368,0.7851698559336373,0.27971890804789223,0.9752946724784594,NA,NA,0.940609958604785,0.09310523127270477,0.17356524443423374,0.8302683411133793,0.7264301912392694,0.1737576528474739,0.6312181824365779,0.8859209593044804,0.23600287456751035,0.2779507546307664,0.8589973850949232,0.4010053376628701
ROI_0356,0.3722141132405444,0.402421280508053,0.01236005329590736,0.3315823221302616,NA,NA,0.5249832708786325,0.30916402351191274,NA,0.27979493575617226,0.28348672902957706,NA,0.5570760097489418,0.7400899191759989,NA,0.15808899818991534,0.7235007077612274,0.07366725071967886
ROI_0357,0.7645169490566636,0.3505801158590491,NA,0.9994063139439923,NA,NA,0.9095784182897455,0.14586029147547383,NA,0.8101947485811165,0.678966495076488,NA,0.8120719671896216,0.5374887651938981,NA,0.12444019627467197,0.1120845187448794,NA
ROI_0358,0.7884390498107448,0.7615772574663852,0.12353962454513565,0.999749739118489,NA,NA,0.7795791407072351,0.49813381826205355,NA,0.7174266169362944,0.018934956075151638,NA,0.7386806278277465,0.43678089931065744,NA,0.3083096985947152,0.9298637148010355,0.3526238137676619
ROI_0359,0.4734982951357228,0.3531701034977967,4.0077108340416126e-10,0.08337603913132682,NA,NA,0.7139490073869916,0.22442785285150751,1.0290183154671555e-9,0.5630042157184035,0.2535360443752844,NA,0.2180109476279083,0.41853301250286223,NA,0.5255167179060816,0.8263650502153684,NA
ROI_0360,0.7903724249580667,0.655782502881129,0.00562739732674463,0.9750934648535767,NA,NA,0.7895005808409196,0.08967474150872741,NA,0.7816622200081704,0.32502459670477496,0.09533760548950239,0.4372355430930763,0.7962475601325915,NA,0.3189646641484475,0.9791050304515674,NA
ROI_0362,0.723386819215079,0.5432993787189965,NA,0.9975029136557273,NA,NA,0.9714806357517988,0.11434576313832298,NA,0.7633708136796247,0.42434311325259927,NA,0.24653984225349923,0.35007101035485,NA,0.1464605017277192,0.769008865602472,NA
ROI_0364,0.41003257409317856,0.25818214169890275,0.14449389384611896,0.3177777467224046,NA,NA,0.42130998099198785,0.02557082487004793,NA,0.055252703978723554,0.34271738708907357,NA,0.29351438832127835,0.20147693991120202,NA,0.7102510452604507,0.8331101127546741,0.4010810684786304
ROI_0365,0.10853175964628485,0.38466502826578586,NA,NA,0.6213348645052801,NA,0.10335001394841054,0.002769781169510635,NA,0.11327423379428857,0.5171622027075702,NA,0.26794593621153123,0.2733391940417065,NA,0.03725188999549376,0.4522938398050786,NA
ROI_0366,0.7862896845653901,0.7966712412613585,0.029413854958629283,0.994176229502011,NA,NA,0.919046132996163,0.6278647780606713,0.06328672711167278,0.8815219978870562,0.6590073245881184,0.2071837605226867,0.20180944260502226,0.6291190308411421,NA,NA,0.9195550087351485,NA
ROI_0367,0.7310418833827749,0.6725368300648672,0.04495558248348643,0.8565512921111376,NA,NA,0.5443416904284151,0.39403629067929835,0.0875770386435397,0.7102535676457349,0.5114986866958023,0.0018834212172359863,0.7683623201174609,0.9046622694118838,0.04878860648229415,0.5220996893075114,0.940208581698491,1.364628802338581e-8
ROI_0368,0.6136708325585167,0.07821700945814011,NA,1,NA,NA,0.7854613210226992,0.2611571345655177,NA,0.739585663395847,4.165902916062929e-10,NA,0.22809924871098172,0.12972411083042484,NA,0.08990477843789475,0.03449434517277888,NA
ROI_0369,0.842360773306245,0.8692140885541287,NA,0.02074385065602801,0.84570642621322345,NA,0.9894939058489186,NA,NA,0.9251714560955169,1.2259859977368473e-9,NA,0.6209749549587058,0.7134909785694199,NA,NA,0.9633812369719962,NA
ROI_0370,0.6920513146104443,0.5994575352139002,0.01359009236980753,0.47811159023180444,NA,NA,0.9031447909036912,0.5655993337261195,0.010089880899473096,0.6374037336631307,0.6332732439877193,0.022575354924623578,0.7559082011330396,0.7911550583823082,0.017213315963078724,0.1205755308533061,0.906831582874098,NA
ROI_0373,0.6634022454335865,0.4549469744681796,NA,0.7682357719992082,NA,NA,0.31455564833787736,0.1706710843845431,NA,0.7599069912247808,0.4271968279727171,NA,0.7734016502479365,0.8873195826260805,NA,0.37536651017511424,0.6943719691425525,NA
ROI_0374,0.6682462436562921,0.7336908770870695,NA,0.9980200830123425,NA,NA,0.7333705000996592,0.5523997818569722,NA,0.5242362353886864,0.8146141879089998,NA,0.5393066222497314,0.18921587773713264,NA,0.04590188530828473,0.8880853016433429,NA
ROI_0375,0.6439058827452144,0.574989846556073,NA,0.9998053779028309,NA,NA,0.7788355924510645,4.4521417007839596e-10,NA,0.5836608171566333,0.304668371792472,NA,0.1681602885620084,0.8393680966843489,NA,0.287866899717782,0.4550976924047482,NA
ROI_0377,0.6964986842470036,0.4570459138010392,NA,0.99944346750664,NA,NA,0.9733588136991811,0.15260894276188913,NA,0.6666975670519635,1.5175427924038747e-9,NA,0.4363771458077171,0.047308275275845565,NA,0.026302168681986555,0.6049995244383731,NA
ROI_0378,0.6930996095519492,0.45629671261453475,2.5086548529711136e-9,0.6271099456528455,NA,NA,0.7862237924015463,0.34736684649133526,NA,0.6549631428557223,0.42236825234009184,NA,0.8726830901998082,0.7085300417595751,7.467702132270167e-9,0.2747427391946224,0.6694931460379024,NA
ROI_0379,0.8256000300143719,0.831014742105445,0.5025476493518152,0.9637475363678485,NA,NA,0.9356897927891583,0.22693955449898268,0.0076575017336777745,0.7791435499315778,0.8429839306691087,0.3454666917744639,0.30129893327310076,0.9078540786814523,0.7330246914015763,0.6059578211348124,0.8756597026842173,0.35591799466892965
ROI_0380,0.5181697128590275,0.6928027411062662,0.1439982962428381,0.2956346595471471,NA,NA,0.537576713464744,0.22786135896500898,1.2351015855800639e-9,0.7860822003721799,0.9185025435650835,4.472872011124606e-9,0.7495594535403245,0.9417331902607612,0.31244222655533166,NA,0.9806660312696397,NA
ROI_0381,0.8457554241354429,0.14134566407097582,NA,0.9993691539473348,NA,NA,0.9491369563475078,0.047741783078975655,NA,0.9744749829983556,0.3489742484745215,NA,0.4286990396183852,0.04449220551708111,NA,0.584596561775573,0.4190610943555905,NA
ROI_0382,0.726426418046968,0.8013683708631737,0.48917265424536227,0.8900912802271728,NA,NA,0.7014633731431702,0.8429449051598665,0.03305271620846839,0.41927069538754996,0.7684972761961358,1.080964208399479e-8,0.41592878806945255,0.8540405171083817,0.12620328023501085,0.41506593853407087,0.950417699382806,0.7438554869039621
ROI_0383,0.6705452730984642,0.829668693378128,0.3922377389731731,0.9902703906137269,NA,NA,0.5808299824351936,0.7490334849691624,0.1146012237656283,0.6175704222440886,0.779868173891214,NA,0.3677428458861302,0.8399223030757814,0.5765243179917308,NA,0.9273671450362747,0.4219900085599424
